,CurrentDay,TradeType,TradeStatus,TradeId,BuyPrice,LimitSellPrice,StopLossPrice,NumShares,Profit,IsTradeComplete,SoldTime
107,2020-03-10,BaseTrade,Short,77,274.58010864257807,274.33010864257807,274.83010864257807,36,9.0,Yes,11:18:00
226,2020-03-10,BaseTrade,Long,196,277.83169555664057,278.08169555664057,277.58169555664057,36,9.0,Yes,13:18:00
247,2020-03-10,BaseTrade,Short,217,275.7348022460937,275.4848022460937,275.9848022460937,36,9.0,Yes,13:40:00
348,2020-03-10,BaseTrade,Long,318,280.58999633789057,280.83999633789057,280.33999633789057,35,8.75,Yes,15:20:00
91,2020-03-11,BaseTrade,Long,61,276.98001098632807,277.23001098632807,276.73001098632807,36,-9.0,Yes,11:03:00
127,2020-03-11,BaseTrade,Long,97,277.04000854492193,277.29000854492193,276.79000854492193,36,9.0,Yes,11:38:00
128,2020-03-11,BaseTrade,Long,98,277.39498901367193,277.64498901367193,277.14498901367193,36,-9.0,Yes,11:40:00
153,2020-03-11,BaseTrade,Long,123,277.95999145507807,278.20999145507807,277.70999145507807,36,9.0,Yes,12:05:00
154,2020-03-11,BaseTrade,Long,124,278.3800048828125,278.6300048828125,278.1300048828125,36,9.0,Yes,12:08:00
228,2020-03-11,BaseTrade,Long,198,277.01998901367193,277.26998901367193,276.76998901367193,36,-9.0,Yes,13:22:00
249,2020-03-11,BaseTrade,Short,219,275.239990234375,274.989990234375,275.489990234375,36,-9.0,Yes,13:45:00
272,2020-03-11,BaseTrade,Short,242,275.11599731445307,274.86599731445307,275.36599731445307,36,-9.0,Yes,14:05:00
275,2020-03-11,BaseTrade,Short,245,275.10000610351557,274.85000610351557,275.35000610351557,36,9.0,Yes,14:09:00
277,2020-03-11,BaseTrade,Short,247,274.760009765625,274.510009765625,275.010009765625,36,-9.0,Yes,14:12:00
290,2020-03-11,BaseTrade,Short,260,274.27841186523443,274.02841186523443,274.52841186523443,36,-9.0,Yes,14:24:00
302,2020-03-11,BaseTrade,Long,272,276.17999267578125,276.42999267578125,275.92999267578125,36,-9.0,Yes,14:37:00
305,2020-03-11,BaseTrade,Long,275,276.2139892578125,276.4639892578125,275.9639892578125,36,9.0,Yes,14:39:00
306,2020-03-11,BaseTrade,Long,276,276.59500122070307,276.84500122070307,276.34500122070307,36,9.0,Yes,14:40:00
1,2020-03-12,FarFromMovingAverageTrade,Long,1,257.26998901367193,257.76998901367193,256.6400146484375,38,-23.93902587890841,Yes,09:33:00
200,2020-03-12,FarFromMovingAverageTrade,Short,200,267.3099975585937,266.8099975585937,268.48001098632807,37,-43.290496826171875,Yes,13:05:00
276,2020-03-16,BaseTrade,Short,246,249.60499572753903,249.35499572753903,249.85499572753903,39,-9.75,Yes,14:23:00
284,2020-03-16,BaseTrade,Long,254,251.02999877929688,251.27999877929688,250.77999877929688,39,9.75,Yes,14:32:00
286,2020-03-16,BaseTrade,Long,256,251.80999755859372,252.05999755859372,251.55999755859372,39,9.75,Yes,14:33:00
117,2020-03-18,BaseTrade,Short,87,243.75999450683597,243.50999450683597,244.00999450683597,40,-10.0,Yes,11:29:00
194,2020-03-19,BaseTrade,Long,164,247.3999938964844,247.6499938964844,247.1499938964844,40,-10.0,Yes,12:49:00
201,2020-03-19,BaseTrade,Long,171,247.8699951171875,248.1199951171875,247.6199951171875,40,10.0,Yes,12:53:00
256,2020-03-19,BaseTrade,Long,226,249.19000244140625,249.44000244140625,248.94000244140625,39,9.75,Yes,13:50:00
261,2020-03-19,BaseTrade,Long,231,249.91000366210938,250.16000366210938,249.66000366210938,39,9.75,Yes,13:53:00
300,2020-03-19,BaseTrade,Long,270,250.3300018310547,250.5800018310547,250.0800018310547,39,-9.75,Yes,14:34:00
109,2020-03-20,BaseTrade,Short,79,249.9850006103516,249.7350006103516,250.2350006103516,39,9.75,Yes,11:21:00
154,2020-03-20,BaseTrade,Short,124,248.32000732421875,248.07000732421875,248.57000732421875,40,10.0,Yes,12:05:00
236,2020-03-20,BaseTrade,Short,206,247.2400054931641,246.9900054931641,247.4900054931641,40,-10.0,Yes,13:27:00
246,2020-03-20,BaseTrade,Short,216,247.22000122070312,246.97000122070312,247.47000122070312,40,-10.0,Yes,13:37:00
275,2020-03-20,BaseTrade,Long,245,247.9600067138672,248.2100067138672,247.7100067138672,40,-10.0,Yes,14:07:00
284,2020-03-20,BaseTrade,Short,254,246.3999938964844,246.1499938964844,246.6499938964844,40,10.0,Yes,14:17:00
287,2020-03-20,BaseTrade,Short,257,245.8500061035156,245.6000061035156,246.1000061035156,40,-10.0,Yes,14:20:00
293,2020-03-20,BaseTrade,Short,263,245.63999938964844,245.38999938964844,245.88999938964844,40,10.0,Yes,14:24:00
84,2020-03-23,BaseTrade,Short,54,220.6300048828125,220.3800048828125,220.8800048828125,45,11.25,Yes,10:55:00
94,2020-03-24,BaseTrade,Short,64,240.9499969482422,240.6999969482422,241.1999969482422,41,10.25,Yes,11:05:00
95,2020-03-24,BaseTrade,Short,65,240.1499938964844,239.8999938964844,240.3999938964844,41,10.25,Yes,11:06:00
129,2020-03-24,BaseTrade,Long,99,240.9250030517578,241.1750030517578,240.6750030517578,41,10.25,Yes,11:41:00
133,2020-03-24,BaseTrade,Long,103,241.75999450683597,242.00999450683597,241.50999450683597,41,-10.25,Yes,11:46:00
146,2020-03-24,BaseTrade,Long,116,242.2400054931641,242.4900054931641,241.9900054931641,41,-10.25,Yes,11:57:00
176,2020-03-24,BaseTrade,Long,146,242.4149932861328,242.6649932861328,242.1649932861328,41,10.25,Yes,12:38:00
187,2020-03-24,BaseTrade,Long,157,242.67999267578125,242.92999267578125,242.42999267578125,41,-10.25,Yes,12:41:00
199,2020-03-24,BaseTrade,Short,169,241.6999969482422,241.4499969482422,241.9499969482422,41,10.25,Yes,12:52:00
201,2020-03-24,BaseTrade,Short,171,241.2700042724609,241.0200042724609,241.5200042724609,41,-10.25,Yes,12:53:00
207,2020-03-24,BaseTrade,Short,177,240.8999938964844,240.6499938964844,241.1499938964844,41,10.25,Yes,12:59:00
2,2020-03-25,FarFromMovingAverageTrade,Short,2,253.2400054931641,252.7400054931641,254.2915954589844,39,-41.01200866699219,Yes,09:33:00
10,2020-03-25,FarFromMovingAverageTrade,Short,10,257.01998901367193,256.51998901367193,257.82998657226557,38,19.0,Yes,09:41:00
204,2020-03-25,BaseTrade,Short,174,253.6999969482422,253.4499969482422,253.9499969482422,39,-9.75,Yes,12:59:00
245,2020-03-25,BaseTrade,Long,215,255.85569763183597,256.10569763183594,255.60569763183597,38,9.49999999999892,Yes,13:37:00
246,2020-03-25,BaseTrade,Long,216,256.42001342773443,256.67001342773443,256.17001342773443,38,9.5,Yes,13:38:00
325,2020-03-25,BaseTrade,Long,295,255.19000244140625,255.44000244140625,254.94000244140625,39,-9.75,Yes,14:59:00
331,2020-03-25,BaseTrade,Long,301,255.32000732421875,255.57000732421875,255.07000732421875,39,9.75,Yes,15:07:00
338,2020-03-25,BaseTrade,Long,308,255.87229919433597,256.12229919433594,255.62229919433597,38,-9.5,Yes,15:10:00
344,2020-03-25,BaseTrade,Long,314,256.09219360351557,256.34219360351557,255.84219360351557,38,9.5,Yes,15:16:00
345,2020-03-25,BaseTrade,Long,315,256.44000244140625,256.69000244140625,256.19000244140625,38,9.5,Yes,15:19:00
217,2020-03-26,BaseTrade,Short,187,253.38999938964844,253.13999938964844,253.63999938964844,39,9.75,Yes,13:08:00
218,2020-03-26,BaseTrade,Short,188,252.97999572753903,252.72999572753903,253.22999572753903,39,9.75,Yes,13:09:00
219,2020-03-26,BaseTrade,Short,189,252.72830200195312,252.47830200195312,252.97830200195312,39,9.75,Yes,13:11:00
221,2020-03-26,BaseTrade,Short,191,252.44000244140625,252.19000244140625,252.69000244140625,39,9.75,Yes,13:13:00
302,2020-03-26,BaseTrade,Long,272,253.8600006103516,254.1100006103516,253.6100006103516,39,-9.75,Yes,14:35:00
50,2020-03-27,BaseTrade,Short,20,248.91000366210938,248.66000366210938,249.16000366210938,40,-10.0,Yes,10:21:00
72,2020-03-27,BaseTrade,Long,42,250.22000122070312,250.47000122070312,249.97000122070312,39,-9.75,Yes,10:44:00
93,2020-03-27,BaseTrade,Long,63,250.3249969482422,250.5749969482422,250.0749969482422,39,9.75,Yes,11:07:00
99,2020-03-27,BaseTrade,Long,69,250.8600006103516,251.1100006103516,250.6100006103516,39,9.75,Yes,11:15:00
133,2020-03-27,BaseTrade,Short,103,250.72000122070312,250.47000122070312,250.97000122070312,39,9.75,Yes,11:46:00
136,2020-03-27,BaseTrade,Short,106,250.1999969482422,249.9499969482422,250.4499969482422,40,-10.0,Yes,11:48:00
148,2020-03-27,BaseTrade,Short,118,250.0,249.75,250.25,40,10.0,Yes,12:00:00
151,2020-03-27,BaseTrade,Short,121,249.40499877929688,249.15499877929688,249.65499877929688,40,10.0,Yes,12:06:00
180,2020-03-27,BaseTrade,Long,150,250.57000732421875,250.82000732421875,250.32000732421875,40,-10.0,Yes,12:33:00
183,2020-03-27,BaseTrade,Long,153,250.58999633789062,250.83999633789062,250.33999633789062,40,10.0,Yes,12:36:00
229,2020-03-27,BaseTrade,Long,199,251.25999450683597,251.50999450683597,251.00999450683597,39,9.75,Yes,13:23:00
231,2020-03-27,BaseTrade,Long,201,251.54530334472656,251.79530334472656,251.29530334472656,39,9.75,Yes,13:27:00
235,2020-03-27,BaseTrade,Long,205,251.82000732421875,252.07000732421875,251.57000732421875,39,-9.75,Yes,13:28:00
239,2020-03-27,BaseTrade,Long,209,251.9199981689453,252.1699981689453,251.6699981689453,39,9.75,Yes,13:33:00
241,2020-03-27,BaseTrade,Long,211,252.63999938964844,252.88999938964844,252.38999938964844,39,9.75,Yes,13:34:00
301,2020-03-27,BaseTrade,Long,271,253.86700439453125,254.11700439453125,253.61700439453125,39,-9.75,Yes,14:35:00
318,2020-03-27,BaseTrade,Short,288,252.4398956298828,252.1898956298828,252.6898956298828,39,-9.75,Yes,14:51:00
330,2020-03-27,BaseTrade,Long,300,253.97999572753903,254.22999572753903,253.72999572753903,39,9.75,Yes,15:04:00
335,2020-03-27,BaseTrade,Long,305,254.3206024169922,254.5706024169922,254.0706024169922,39,9.75,Yes,15:08:00
336,2020-03-27,BaseTrade,Long,306,254.5941925048828,254.8441925048828,254.3441925048828,39,9.75,Yes,15:10:00
43,2020-03-30,BaseTrade,Long,13,251.00999450683597,251.25999450683597,250.75999450683597,40,10.0,Yes,10:18:00
46,2020-03-30,BaseTrade,Long,16,251.3300018310547,251.5800018310547,251.0800018310547,40,10.0,Yes,10:19:00
47,2020-03-30,BaseTrade,Long,17,251.72000122070312,251.97000122070312,251.47000122070312,40,-10.0,Yes,10:25:00
63,2020-03-30,BaseTrade,Long,33,252.26449584960938,252.51449584960938,252.01449584960938,39,9.75,Yes,10:38:00
108,2020-03-30,BaseTrade,Long,78,252.4900054931641,252.7400054931641,252.2400054931641,39,-9.75,Yes,11:23:00
122,2020-03-30,BaseTrade,Long,92,253.4499969482422,253.6999969482422,253.1999969482422,39,-9.75,Yes,11:36:00
148,2020-03-30,BaseTrade,Short,118,252.2250061035156,251.9750061035156,252.4750061035156,39,9.75,Yes,12:02:00
150,2020-03-30,BaseTrade,Short,120,251.91000366210938,251.66000366210938,252.16000366210938,40,10.0,Yes,12:07:00
155,2020-03-30,BaseTrade,Short,125,251.4600067138672,251.2100067138672,251.7100067138672,40,-10.0,Yes,12:10:00
177,2020-03-30,BaseTrade,Long,147,252.67999267578125,252.92999267578125,252.42999267578125,39,-9.75,Yes,12:34:00
184,2020-03-30,BaseTrade,Long,154,252.7292022705078,252.9792022705078,252.4792022705078,39,9.75,Yes,12:46:00
194,2020-03-30,BaseTrade,Long,164,253.13999938964844,253.38999938964844,252.88999938964844,39,-9.75,Yes,12:48:00
198,2020-03-30,BaseTrade,Long,168,253.2899932861328,253.5399932861328,253.0399932861328,39,9.75,Yes,12:54:00
222,2020-03-30,BaseTrade,Short,192,252.5500030517578,252.3000030517578,252.8000030517578,39,-9.75,Yes,13:15:00
227,2020-03-30,BaseTrade,Short,197,252.4860992431641,252.2360992431641,252.7360992431641,39,-9.75,Yes,13:27:00
249,2020-03-30,BaseTrade,Short,219,252.2200927734375,251.9700927734375,252.4700927734375,39,-9.75,Yes,13:42:00
257,2020-03-30,BaseTrade,Long,227,252.97000122070312,253.22000122070312,252.72000122070312,39,-9.75,Yes,13:55:00
278,2020-03-30,BaseTrade,Short,248,252.1649932861328,251.9149932861328,252.4149932861328,39,9.75,Yes,14:11:00
279,2020-03-30,BaseTrade,Short,249,251.88999938964844,251.63999938964844,252.13999938964844,39,-9.75,Yes,14:14:00
284,2020-03-30,BaseTrade,Short,254,251.66290283203125,251.41290283203125,251.91290283203125,39,-9.75,Yes,14:17:00
296,2020-03-30,BaseTrade,Long,266,252.83999633789062,253.08999633789062,252.58999633789062,39,9.75,Yes,14:35:00
303,2020-03-30,BaseTrade,Long,273,253.1067047119141,253.3567047119141,252.8567047119141,39,9.75,Yes,14:41:00
321,2020-03-30,BaseTrade,Long,291,253.9900054931641,254.2400054931641,253.7400054931641,39,-9.75,Yes,14:55:00
332,2020-03-30,BaseTrade,Long,302,254.02999877929688,254.27999877929688,253.77999877929688,39,-9.75,Yes,15:07:00
338,2020-03-30,BaseTrade,Long,308,254.22000122070312,254.47000122070312,253.97000122070312,39,9.75,Yes,15:12:00
340,2020-03-30,BaseTrade,Long,310,254.55999755859372,254.80999755859372,254.30999755859372,39,-9.75,Yes,15:15:00
352,2020-03-30,BaseTrade,Short,322,253.3300018310547,253.0800018310547,253.5800018310547,39,9.75,Yes,15:27:00
355,2020-03-30,BaseTrade,Short,325,252.6999969482422,252.4499969482422,252.9499969482422,39,-9.75,Yes,15:30:00
120,2020-03-31,BaseTrade,Long,90,260.47000122070307,260.72000122070307,260.22000122070307,38,-9.5,Yes,11:31:00
138,2020-03-31,BaseTrade,Short,108,259.12969970703125,258.87969970703125,259.37969970703125,38,9.5,Yes,11:53:00
143,2020-03-31,BaseTrade,Short,113,258.83999633789057,258.58999633789057,259.08999633789057,38,9.5,Yes,11:55:00
145,2020-03-31,BaseTrade,Short,115,258.45001220703125,258.20001220703125,258.70001220703125,38,-9.5,Yes,11:57:00
168,2020-03-31,BaseTrade,Short,138,258.1199951171875,257.8699951171875,258.3699951171875,38,9.5,Yes,12:20:00
170,2020-03-31,BaseTrade,Short,140,257.8135986328125,257.5635986328125,258.0635986328125,38,9.5,Yes,12:21:00
174,2020-03-31,BaseTrade,Short,144,257.36080932617193,257.11080932617193,257.61080932617193,39,9.75,Yes,12:25:00
175,2020-03-31,BaseTrade,Short,145,256.77999877929693,256.52999877929693,257.02999877929693,39,9.75,Yes,12:31:00
247,2020-03-31,BaseTrade,Long,217,256.42498779296875,256.67498779296875,256.17498779296875,39,-9.75,Yes,13:38:00
250,2020-03-31,BaseTrade,Long,220,256.489990234375,256.739990234375,256.239990234375,39,9.75,Yes,13:42:00
276,2020-03-31,BaseTrade,Short,246,255.41000366210938,255.16000366210938,255.66000366210938,39,-9.75,Yes,14:07:00
284,2020-03-31,BaseTrade,Short,254,255.3600006103516,255.1100006103516,255.6100006103516,39,-9.75,Yes,14:22:00
307,2020-03-31,BaseTrade,Long,277,256.239990234375,256.489990234375,255.989990234375,39,-9.75,Yes,14:41:00
337,2020-03-31,BaseTrade,Short,307,255.32569885253903,255.07569885253903,255.57569885253903,39,-9.75,Yes,15:09:00
341,2020-03-31,BaseTrade,Short,311,254.88999938964844,254.63999938964844,255.13999938964844,39,9.75,Yes,15:13:00
76,2020-04-01,BaseTrade,Long,46,247.52999877929688,247.77999877929688,247.27999877929688,40,-10.0,Yes,10:47:00
93,2020-04-01,BaseTrade,Long,63,247.7550048828125,248.0050048828125,247.5050048828125,40,10.0,Yes,11:09:00
98,2020-04-01,BaseTrade,Long,68,248.02999877929688,248.27999877929688,247.77999877929688,40,-10.0,Yes,11:13:00
117,2020-04-01,BaseTrade,Short,87,246.7749938964844,246.5249938964844,247.0249938964844,40,10.0,Yes,11:29:00
119,2020-04-01,BaseTrade,Short,89,246.41000366210938,246.16000366210938,246.66000366210938,40,-10.0,Yes,11:37:00
160,2020-04-01,BaseTrade,Short,130,245.0,244.75,245.25,40,10.0,Yes,12:12:00
161,2020-04-01,BaseTrade,Short,131,244.60389709472656,244.35389709472656,244.85389709472656,41,-10.25,Yes,12:13:00
182,2020-04-01,BaseTrade,Short,152,244.1699981689453,243.9199981689453,244.4199981689453,41,10.25,Yes,12:36:00
185,2020-04-01,BaseTrade,Short,155,243.875,243.625,244.125,41,10.25,Yes,12:37:00
186,2020-04-01,BaseTrade,Short,156,243.6199951171875,243.3699951171875,243.8699951171875,41,10.25,Yes,12:38:00
230,2020-04-01,BaseTrade,Long,200,243.6407012939453,243.8907012939453,243.3907012939453,41,-10.25,Yes,13:26:00
243,2020-04-01,BaseTrade,Short,213,242.63009643554688,242.38009643554688,242.88009643554688,41,-10.25,Yes,13:35:00
266,2020-04-01,BaseTrade,Long,236,243.44140625,243.69140625,243.19140625,41,-10.25,Yes,14:02:00
272,2020-04-01,BaseTrade,Long,242,243.8583068847656,244.1083068847656,243.6083068847656,41,-10.25,Yes,14:04:00
283,2020-04-01,BaseTrade,Short,253,242.83999633789062,242.58999633789062,243.08999633789062,41,10.25,Yes,14:17:00
286,2020-04-01,BaseTrade,Short,256,242.5829925537109,242.3329925537109,242.8329925537109,41,10.25,Yes,14:24:00
293,2020-04-01,BaseTrade,Short,263,242.1100006103516,241.8600006103516,242.3600006103516,41,-10.25,Yes,14:25:00
300,2020-04-01,BaseTrade,Short,270,241.8000030517578,241.5500030517578,242.0500030517578,41,10.25,Yes,14:35:00
322,2020-04-01,BaseTrade,Short,292,241.3531036376953,241.1031036376953,241.6031036376953,41,10.25,Yes,14:56:00
332,2020-04-01,BaseTrade,Short,302,240.7949981689453,240.5449981689453,241.0449981689453,41,10.25,Yes,15:06:00
335,2020-04-01,BaseTrade,Short,305,240.22000122070312,239.97000122070312,240.47000122070312,41,-10.25,Yes,15:12:00
101,2020-04-02,BaseTrade,Short,71,241.63999938964844,241.38999938964844,241.88999938964844,41,-10.25,Yes,11:15:00
116,2020-04-02,BaseTrade,Short,86,241.6331024169922,241.3831024169922,241.8831024169922,41,10.25,Yes,11:27:00
117,2020-04-02,BaseTrade,Short,87,241.3500061035156,241.1000061035156,241.6000061035156,41,-10.25,Yes,11:29:00
137,2020-04-02,BaseTrade,Long,107,242.8800048828125,243.1300048828125,242.6300048828125,41,-10.25,Yes,11:51:00
155,2020-04-02,BaseTrade,Long,125,243.3000030517578,243.5500030517578,243.0500030517578,41,-10.25,Yes,12:08:00
174,2020-04-02,BaseTrade,Short,144,242.2313995361328,241.9813995361328,242.4813995361328,41,-10.25,Yes,12:26:00
179,2020-04-02,BaseTrade,Short,149,242.00999450683597,241.75999450683597,242.25999450683597,41,-10.25,Yes,12:30:00
181,2020-04-02,BaseTrade,Short,151,241.94000244140625,241.69000244140625,242.19000244140625,41,-10.25,Yes,12:36:00
200,2020-04-02,BaseTrade,Long,170,242.9600067138672,243.2100067138672,242.7100067138672,41,-10.25,Yes,12:56:00
211,2020-04-02,BaseTrade,Long,181,242.97000122070312,243.22000122070312,242.72000122070312,41,-10.25,Yes,13:05:00
220,2020-04-02,BaseTrade,Short,190,241.6300048828125,241.3800048828125,241.8800048828125,41,10.25,Yes,13:12:00
222,2020-04-02,BaseTrade,Short,192,241.30999755859372,241.05999755859372,241.55999755859372,41,10.25,Yes,13:16:00
275,2020-04-02,BaseTrade,Short,245,238.8300018310547,238.5800018310547,239.0800018310547,41,-10.25,Yes,14:06:00
278,2020-04-02,BaseTrade,Short,248,238.6750030517578,238.4250030517578,238.9250030517578,41,10.25,Yes,14:09:00
279,2020-04-02,BaseTrade,Short,249,238.15499877929688,237.90499877929688,238.40499877929688,41,10.25,Yes,14:11:00
309,2020-04-02,BaseTrade,Long,279,239.1100006103516,239.3600006103516,238.8600006103516,41,-10.25,Yes,14:40:00
46,2020-04-03,BaseTrade,Short,16,244.0399932861328,243.7899932861328,244.2899932861328,40,10.0,Yes,10:18:00
48,2020-04-03,BaseTrade,Short,18,243.3950042724609,243.1450042724609,243.6450042724609,41,10.25,Yes,10:22:00
87,2020-04-03,BaseTrade,Long,57,243.02999877929688,243.27999877929688,242.77999877929688,41,10.25,Yes,11:00:00
90,2020-04-03,BaseTrade,Long,60,243.41000366210938,243.66000366210938,243.16000366210938,41,-10.25,Yes,11:02:00
104,2020-04-03,BaseTrade,Short,74,241.94369506835938,241.69369506835938,242.19369506835938,41,-10.25,Yes,11:20:00
114,2020-04-03,BaseTrade,Short,84,241.85499572753903,241.60499572753903,242.10499572753903,41,-10.25,Yes,11:27:00
128,2020-04-03,BaseTrade,Long,98,242.8061981201172,243.0561981201172,242.5561981201172,41,-10.25,Yes,11:42:00
136,2020-04-03,BaseTrade,Short,106,241.72999572753903,241.47999572753903,241.97999572753903,41,-10.25,Yes,11:49:00
143,2020-04-03,BaseTrade,Short,113,241.69000244140625,241.44000244140625,241.94000244140625,41,-10.25,Yes,11:54:00
157,2020-04-03,BaseTrade,Short,127,241.50999450683597,241.25999450683597,241.75999450683597,41,-10.25,Yes,12:10:00
162,2020-04-03,BaseTrade,Short,132,241.2713928222656,241.0213928222656,241.5213928222656,41,10.25,Yes,12:17:00
167,2020-04-03,BaseTrade,Short,137,241.0200042724609,240.7700042724609,241.2700042724609,41,-10.25,Yes,12:28:00
189,2020-04-03,BaseTrade,Long,159,241.9499969482422,242.1999969482422,241.6999969482422,41,-10.25,Yes,12:41:00
192,2020-04-03,BaseTrade,Long,162,242.05999755859372,242.30999755859372,241.80999755859372,41,-10.25,Yes,12:46:00
218,2020-04-03,BaseTrade,Long,188,242.17999267578125,242.42999267578125,241.92999267578125,41,-10.25,Yes,13:12:00
236,2020-04-03,BaseTrade,Short,206,241.1499938964844,240.8999938964844,241.3999938964844,41,10.25,Yes,13:30:00
240,2020-04-03,BaseTrade,Short,210,240.75,240.5,241.0,41,10.25,Yes,13:38:00
273,2020-04-03,BaseTrade,Short,243,240.0500030517578,239.8000030517578,240.3000030517578,41,10.25,Yes,14:06:00
276,2020-04-03,BaseTrade,Short,246,239.6038055419922,239.3538055419922,239.8538055419922,41,-10.25,Yes,14:08:00
299,2020-04-03,BaseTrade,Long,269,240.75,241.0,240.5,41,-10.25,Yes,14:30:00
314,2020-04-03,BaseTrade,Short,284,239.38999938964844,239.13999938964844,239.63999938964844,41,-10.25,Yes,14:45:00
327,2020-04-03,BaseTrade,Long,297,240.77999877929688,241.02999877929688,240.52999877929688,41,10.25,Yes,15:01:00
331,2020-04-03,BaseTrade,Long,301,241.25,241.5,241.0,41,-10.25,Yes,15:02:00
